# Riemann Zeta Zeros - Asymptotic Analysis
# Formula: t_{n+1} = t_n + 2π/ln(t_n/2π)
# Reference: Odlyzko database

Total_points: 500
Reference_points: 500
Mean_Absolute_Error: 1.30436732
Correlation: 0.99999838

     n       t_n_computed        t_n_odlyzko        error      delta_t
-------------------------------------------------------------------------------------
     1      14.1347250000      14.1347251420    -0.000000     0.000000
     2      21.8844967198      21.0220396390     0.862457     7.749772
     3      26.9194980989      25.0108575800     1.908641     5.035001
     4      31.2379162952      30.4248761260     0.813040     4.318418
     5      35.1557111748      32.9350615880     2.220650     3.917795
     6      38.8046738028      37.5861781590     1.218496     3.648963
     7      42.2557150591      40.9187190120     1.336996     3.451041
     8      45.5524823526      43.3270732810     2.225409     3.296767
     9      48.7242255124      48.0051508810     0.719075     3.171743
    10      51.7917388182      49.7738324780     2.017906     3.067513
    11      54.7704643118      52.9703214780     1.800143     2.978725
    12      57.6722611646      56.4462476970     1.226013     2.901797
    13      60.5064834729      59.3470440030     1.159439     2.834222
    14      63.2806717110      60.8317785250     2.448893     2.774188
    15      66.0010152597      65.1125440480     0.888471     2.720344
    16      68.6726726512      67.0798105290     1.592862     2.671657
    17      71.2999998071      69.5464017110     1.753598     2.627327
    18      73.8867167653      72.0671576740     1.819559     2.586717
    19      76.4360320892      75.7046906990     0.731341     2.549315
    20      78.9507374387      77.1448400690     1.805897     2.514705
    21      81.4332806411      79.3373750200     2.095906     2.482543
    22      83.8858229721      82.9103808540     0.975442     2.452542
    23      86.3102846442      84.7354929810     1.574792     2.424462
    24      88.7083813499      87.4252746130     1.283107     2.398097
    25      91.0816539309      88.8091112080     2.272543     2.373273
    26      93.4314926943      92.4918992710     0.939593     2.349839
    27      95.7591575180      94.6513440410     1.107813     2.327665
    28      98.0657946050      95.8706342280     2.195160     2.306637
    29     100.3524505498      98.8311942180     1.521256     2.286656
    30     102.6200842265     101.3178510060     1.302233     2.267634
    31     104.8695768999     103.7255380400     1.144039     2.249493
    32     107.1017408750     105.4466230520     1.655118     2.232164
    33     109.3173269355     107.1686111840     2.148716     2.215586
    34     111.5170307749     111.0295355430     0.487495     2.199704
    35     113.7014985807     111.8746591770     1.826839     2.184468
    36     115.8713319063     114.3202209150     1.551111     2.169833
    37     118.0270919386     116.2266803210     1.800412     2.155760
    38     120.1693032509     118.7907828660     1.378520     2.142211
    39     122.2984571148     121.3701250020     0.928332     2.129154
    40     124.4150144345     122.9468292940     1.468185     2.116557
    41     126.5194083531     124.2568185540     2.262590     2.104394
    42     128.6120465771     127.5166838800     1.095363     2.092638
    43     130.6933134534     129.5787042000     1.114609     2.081267
    44     132.7635718319     131.0876885310     1.675883     2.070258
    45     134.8231647404     133.4977372030     1.325428     2.059593
    46     136.8724168927     134.7565097530     2.115907     2.049252
    47     138.9116360524     138.1160420550     0.795594     2.039219
    48     140.9411142671     139.7362089520     1.204905     2.029478
    49     142.9611289885     141.1237074040     1.837422     2.020015
    50     144.9719440908     143.1118458080     1.860098     2.010815
    51     146.9738107998     146.0009824870     0.972828     2.001867
    52     148.9669685396     147.4227653430     1.544203     1.993158
    53     150.9516457083     150.0535204210     0.898125     1.984677
    54     152.9280603886     150.9252576120     2.002803     1.976415
    55     154.8964209997     153.0246938110     1.871727     1.968361
    56     156.8569268967     156.1129092940     0.744018     1.960506
    57     158.8097689235     157.5975918180     1.212177     1.952842
    58     160.7551299214     158.8499881710     1.905142     1.945361
    59     162.6931851998     161.1889641380     1.504221     1.938055
    60     164.6241029714     163.0307096870     1.593393     1.930918
    61     166.5480447554     165.5370691880     1.010976     1.923942
    62     168.4651657508     167.1844399780     1.280726     1.917121
    63     170.3756151842     169.0945154160     1.281100     1.910449
    64     172.2795366321     169.9119764790     2.367560     1.903921
    65     174.1770683219     173.4115365200     0.765532     1.897532
    66     176.0683434115     174.7541915230     1.314152     1.891275
    67     177.9534902510     176.4414342980     1.512056     1.885147
    68     179.8326326266     178.3774077760     1.455225     1.879142
    69     181.7058899889     179.9164840200     1.789406     1.873257
    70     183.5733776665     182.2070784840     1.366299     1.867488
    71     185.4352070664     184.8744678480     0.560739     1.861829
    72     187.2914858614     185.5987836780     1.692702     1.856279
    73     189.1423181665     187.2289225840     1.913396     1.850832
    74     190.9878047045     189.4161586560     1.571646     1.845487
    75     192.8280429616     192.0266563610     0.801387     1.840238
    76     194.6631273340     193.0797266040     1.583401     1.835084
    77     196.4931492659     195.2653966800     1.227753     1.830022
    78     198.3181973797     196.8764818410     1.441716     1.825048
    79     200.1383575987     198.0153096760     2.123048     1.820160
    80     201.9537132631     201.2647519440     0.688961     1.815356
    81     203.7643452394     202.4935945140     1.270751     1.810632
